timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1614791958100,2356,Spike Test Transaction Controller,201,,Spike Test 1-733,,true,,321,226,370,470,null,0,0,0
1614791958101,2355,Create Bag HTTP Request,201,,Spike Test 1-733,text,true,,321,226,233,333,http://localhost:9090/bag/create,2355,0,76
1614791958683,1772,Spike Test Transaction Controller,201,,Spike Test 1-682,,true,,627,475,370,470,null,0,0,0
1614791958684,1055,Create Bag HTTP Request,201,,Spike Test 1-682,text,true,,321,226,196,296,http://localhost:9090/bag/create,1055,0,4
1614791959739,716,Create Item HTTP Request,201,,Spike Test 1-682,text,true,,306,249,233,333,http://localhost:9090/item/create,716,0,0
1614791958665,1789,Spike Test Transaction Controller,201,,Spike Test 1-681,,true,,627,475,369,469,null,0,0,0
1614791958665,1073,Create Bag HTTP Request,201,,Spike Test 1-681,text,true,,321,226,196,296,http://localhost:9090/bag/create,1073,0,4
1614791959738,716,Create Item HTTP Request,201,,Spike Test 1-681,text,true,,306,249,233,333,http://localhost:9090/item/create,716,0,0
1614791958626,1827,Spike Test Transaction Controller,201,,Spike Test 1-677,,true,,627,475,368,468,null,0,0,0
1614791958626,1112,Create Bag HTTP Request,201,,Spike Test 1-677,text,true,,321,226,196,296,http://localhost:9090/bag/create,1112,0,14
1614791959738,715,Create Item HTTP Request,201,,Spike Test 1-677,text,true,,306,249,233,333,http://localhost:9090/item/create,715,0,0
1614791959119,1329,Spike Test Transaction Controller,201,,Spike Test 1-714,,true,,321,226,367,467,null,0,0,0
1614791959119,1329,Create Bag HTTP Request,201,,Spike Test 1-714,text,true,,321,226,235,335,http://localhost:9090/bag/create,1329,0,25
1614791959108,1340,Spike Test Transaction Controller,201,,Spike Test 1-702,,true,,321,226,366,466,null,0,0,0
1614791959109,1339,Create Bag HTTP Request,201,,Spike Test 1-702,text,true,,321,226,235,335,http://localhost:9090/bag/create,1339,0,11
1614791959112,1336,Spike Test Transaction Controller,201,,Spike Test 1-710,,true,,321,226,365,465,null,0,0,0
1614791959112,1336,Create Bag HTTP Request,201,,Spike Test 1-710,text,true,,321,226,235,335,http://localhost:9090/bag/create,1336,0,7
1614791958083,2364,Spike Test Transaction Controller,201,,Spike Test 1-712,,true,,321,226,365,465,null,0,0,0
1614791958084,2363,Create Bag HTTP Request,201,,Spike Test 1-712,text,true,,321,226,235,335,http://localhost:9090/bag/create,2363,0,90
1614791958616,1831,Spike Test Transaction Controller,201,,Spike Test 1-671,,true,,627,475,364,464,null,0,0,0
1614791958617,1111,Create Bag HTTP Request,201,,Spike Test 1-671,text,true,,321,226,196,296,http://localhost:9090/bag/create,1111,0,6
1614791959728,719,Create Item HTTP Request,201,,Spike Test 1-671,text,true,,306,249,235,335,http://localhost:9090/item/create,719,0,0
1614791958069,2305,Spike Test Transaction Controller,201,,Spike Test 1-668,,true,,321,226,364,464,null,0,0,0
1614791958070,2304,Create Bag HTTP Request,201,,Spike Test 1-668,text,true,,321,226,229,329,http://localhost:9090/bag/create,2304,0,101
1614791958011,2208,Spike Test Transaction Controller,201,,Spike Test 1-694,,true,,627,475,364,464,null,0,0,0
1614791958011,1085,Create Bag HTTP Request,201,,Spike Test 1-694,text,true,,321,226,96,196,http://localhost:9090/bag/create,1085,0,120
1614791959096,1123,Create Item HTTP Request,201,,Spike Test 1-694,text,true,,306,249,209,309,http://localhost:9090/item/create,1123,0,0
1614791958014,2204,Spike Test Transaction Controller,201,,Spike Test 1-699,,true,,627,475,364,464,null,0,0,0
1614791958014,1081,Create Bag HTTP Request,201,,Spike Test 1-699,text,true,,321,226,96,196,http://localhost:9090/bag/create,1081,0,116
1614791959095,1123,Create Item HTTP Request,201,,Spike Test 1-699,text,true,,306,249,209,309,http://localhost:9090/item/create,1123,0,0
1614791958735,1464,Spike Test Transaction Controller,200,,Spike Test 1-678,,true,,397758,635,364,464,null,0,0,0
1614791958735,1007,Create Bag HTTP Request,201,,Spike Test 1-678,text,true,,321,226,196,296,http://localhost:9090/bag/create,1007,0,3
1614791959742,0,Create Item HTTP Request,201,,Spike Test 1-678,text,true,,306,249,196,296,http://localhost:9090/item/create,0,0,0
1614791959743,456,Read Bag HTTP Request,200,,Spike Test 1-678,text,true,,397131,160,208,308,http://localhost:9090/bag/read/1,447,0,0
1614791957999,2193,Spike Test Transaction Controller,201,,Spike Test 1-741,,true,,627,475,363,463,null,0,0,0
1614791957999,1094,Create Bag HTTP Request,201,,Spike Test 1-741,text,true,,321,226,96,196,http://localhost:9090/bag/create,1094,0,122
1614791959093,1099,Create Item HTTP Request,201,,Spike Test 1-741,text,true,,306,249,208,308,http://localhost:9090/item/create,1098,0,0
1614791957985,2206,Spike Test Transaction Controller,201,,Spike Test 1-744,,true,,627,475,363,463,null,0,0,0
1614791957986,1107,Create Bag HTTP Request,201,,Spike Test 1-744,text,true,,321,226,96,196,http://localhost:9090/bag/create,1107,0,126
1614791959093,1098,Create Item HTTP Request,201,,Spike Test 1-744,text,true,,306,249,208,308,http://localhost:9090/item/create,1098,0,0
1614791957999,2192,Spike Test Transaction Controller,201,,Spike Test 1-751,,true,,627,475,363,463,null,0,0,0
1614791957999,1093,Create Bag HTTP Request,201,,Spike Test 1-751,text,true,,321,226,96,196,http://localhost:9090/bag/create,1093,0,113
1614791959092,1099,Create Item HTTP Request,201,,Spike Test 1-751,text,true,,306,249,208,308,http://localhost:9090/item/create,1099,0,0
1614791957996,2194,Spike Test Transaction Controller,201,,Spike Test 1-737,,true,,627,475,363,463,null,0,0,0
1614791957996,1096,Create Bag HTTP Request,201,,Spike Test 1-737,text,true,,321,226,96,196,http://localhost:9090/bag/create,1096,0,115
1614791959092,1098,Create Item HTTP Request,201,,Spike Test 1-737,text,true,,306,249,208,308,http://localhost:9090/item/create,1098,0,0
1614791958363,1827,Spike Test Transaction Controller,201,,Spike Test 1-666,,true,,627,475,361,461,null,0,0,0
1614791958364,1331,Create Bag HTTP Request,201,,Spike Test 1-666,text,true,,321,226,195,295,http://localhost:9090/bag/create,1331,0,3
1614791959695,495,Create Item HTTP Request,201,,Spike Test 1-666,text,true,,306,249,208,308,http://localhost:9090/item/create,495,0,0
1614791957986,2171,Spike Test Transaction Controller,201,,Spike Test 1-746,,true,,627,475,361,461,null,0,0,0
1614791957986,1105,Create Bag HTTP Request,201,,Spike Test 1-746,text,true,,321,226,96,196,http://localhost:9090/bag/create,1105,0,112
1614791959091,1066,Create Item HTTP Request,201,,Spike Test 1-746,text,true,,306,249,205,305,http://localhost:9090/item/create,1066,0,0
1614791957986,2170,Spike Test Transaction Controller,201,,Spike Test 1-745,,true,,627,475,361,461,null,0,0,0
1614791957986,1104,Create Bag HTTP Request,201,,Spike Test 1-745,text,true,,321,226,96,196,http://localhost:9090/bag/create,1104,0,105
1614791959090,1066,Create Item HTTP Request,201,,Spike Test 1-745,text,true,,306,249,205,305,http://localhost:9090/item/create,1066,0,0
1614791957938,2138,Spike Test Transaction Controller,201,,Spike Test 1-724,,true,,627,475,361,461,null,0,0,0
1614791957938,1136,Create Bag HTTP Request,201,,Spike Test 1-724,text,true,,321,226,96,196,http://localhost:9090/bag/create,1136,0,118
1614791959074,1002,Create Item HTTP Request,201,,Spike Test 1-724,text,true,,306,249,203,303,http://localhost:9090/item/create,1002,0,0
1614791957925,2131,Spike Test Transaction Controller,201,,Spike Test 1-743,,true,,627,475,361,461,null,0,0,0
1614791957925,1146,Create Bag HTTP Request,201,,Spike Test 1-743,text,true,,321,226,96,196,http://localhost:9090/bag/create,1146,0,118
1614791959071,985,Create Item HTTP Request,201,,Spike Test 1-743,text,true,,306,249,203,303,http://localhost:9090/item/create,985,0,0
1614791959004,1052,Spike Test Transaction Controller,201,,Spike Test 1-685,,true,,321,226,361,461,null,0,0,0
1614791959024,1032,Create Bag HTTP Request,201,,Spike Test 1-685,text,true,,321,226,203,303,http://localhost:9090/bag/create,1032,0,13
1614791957895,2147,Spike Test Transaction Controller,201,,Spike Test 1-749,,true,,627,475,360,460,null,0,0,0
1614791957895,1134,Create Bag HTTP Request,201,,Spike Test 1-749,text,true,,321,226,96,196,http://localhost:9090/bag/create,1134,0,56
1614791959029,1013,Create Item HTTP Request,201,,Spike Test 1-749,text,true,,306,249,202,302,http://localhost:9090/item/create,1013,0,0
1614791959119,827,Spike Test Transaction Controller,200,,Spike Test 1-715,,true,,397746,796,360,460,null,0,0,0
1614791959119,72,Create Bag HTTP Request,201,,Spike Test 1-715,text,true,,321,226,110,210,http://localhost:9090/bag/create,72,0,25
1614791959191,6,Create Item HTTP Request,201,,Spike Test 1-715,text,true,,306,249,110,210,http://localhost:9090/item/create,6,0,0
1614791959197,633,Read Bag HTTP Request,200,,Spike Test 1-715,text,true,,396816,160,198,298,http://localhost:9090/bag/read/1,625,0,0
1614791959830,116,Read Item HTTP Request,200,,Spike Test 1-715,text,true,,303,161,200,300,http://localhost:9090/item/read/1,115,0,0
1614791957992,3545,Spike Test Transaction Controller,201,,Spike Test 1-736,,true,,321,226,310,410,null,0,0,0
